,ichimoku_a,ichimoku_b,ichimoku_conversion_line,ichimoku_base_line,ichimoku_lagging_span,close,high,low,timestamp
1,,44539.6,,,44859.24,44859.24,44915.0,44164.2,1631520000000
2,,45125.0,,,44361.31,44361.31,46880.0,43370.0,1631534400000
3,,45125.0,,,44741.66,44741.66,44813.55,44167.01,1631548800000
4,,45125.0,,,44940.73,44940.73,45500.0,44738.34,1631563200000
5,,45125.0,,,45186.85,45186.85,45363.93,44594.44,1631577600000
6,,45125.0,,,45720.02,45720.02,45881.6,45050.1,1631592000000
7,,45125.0,,,45973.8,45973.8,46178.43,45678.01,1631606400000
8,,45160.0,,,46754.42,46754.42,46950.0,45756.16,1631620800000
9,,45160.0,45160.0,,46474.89,46474.89,46888.88,46331.01,1631635200000
10,,45310.0,45310.0,,47111.52,47111.52,47250.0,46376.99,1631649600000
11,,45420.0,45818.505000000005,,47075.48,47075.48,47470.0,46938.22,1631664000000
12,,45420.0,46032.22,,47172.84,47172.84,47221.54,46682.32,1631678400000
13,,45534.5,46146.72,,47560.74,47560.74,47699.0,47013.0,1631692800000
14,,45870.155,46710.205,,48288.0,48288.0,48370.31,47282.79,1631707200000
15,,45899.935,47053.94,,48075.44,48075.44,48429.87,47835.36,1631721600000
16,,45935.0,47128.08,,48121.41,48121.41,48500.0,47900.0,1631736000000
17,,45935.0,47415.505000000005,,47615.08,47615.08,48192.06,47337.58,1631750400000
18,,45963.5,47466.994999999995,,48343.52,48343.52,48557.0,47583.11,1631764800000
19,,45963.5,47619.66,,47895.01,47895.01,48356.01,47623.0,1631779200000
20,,45963.5,47619.66,,48020.24,48020.24,48226.38,47211.35,1631793600000
21,,45963.5,47785.0,,47430.01,47430.01,48166.66,47269.0,1631808000000
22,,45963.5,47789.05,,47737.82,47737.82,47942.41,47021.1,1631822400000
23,,45963.5,47789.05,,47899.83,47899.83,48094.26,47450.44,1631836800000
24,,45963.5,47789.05,,47719.73,47719.73,48150.0,47652.51,1631851200000
25,,45963.5,47789.05,,47403.56,47403.56,47989.2,47278.9,1631865600000
26,46876.275,45963.5,47789.05,45963.5,47527.52,47527.52,47656.35,47126.1,1631880000000
27,46758.37,45963.5,47553.240000000005,45963.5,47501.68,47501.68,47730.0,46750.47,1631894400000
28,46912.4875,45963.5,47462.97,46362.005000000005,47299.98,47299.98,47578.94,46699.56,1631908800000
29,47004.415,45963.5,47433.11,46575.72,47924.57,47924.57,47987.49,47035.56,1631923200000
30,47245.1,46106.6,47771.38,46718.82,48622.01,48622.01,48843.2,47919.91,1631937600000
31,47359.015,46106.6,47771.38,46946.649999999994,48367.16,48367.16,48824.54,48315.0,1631952000000
32,47515.99249999999,46106.6,47771.38,47260.604999999996,48414.99,48414.99,48680.0,48249.16,1631966400000
33,47535.53,46106.6,47771.38,47299.68,48266.0,48266.0,48518.99,48062.63,1631980800000
34,47679.24249999999,46106.6,47771.38,47587.104999999996,48292.74,48292.74,48369.37,47800.51,1631995200000
35,47690.7375,46106.6,47771.38,47610.095,47844.88,47844.88,48372.83,47591.83,1632009600000
36,47767.06999999999,46106.6,47771.38,47762.759999999995,48157.7,48157.7,48218.97,47763.85,1632024000000
37,47851.06999999999,46106.6,47939.38,47762.759999999995,47327.73,47327.73,48333.0,47180.32,1632038400000
38,47863.74249999999,46106.6,47956.104999999996,47771.38,47646.72,47646.72,47770.0,47069.01,1632052800000
39,47859.0775,46106.6,47946.775,47771.38,47376.72,47376.72,47785.0,47287.91,1632067200000
40,47762.985,46106.6,47754.59,47771.38,47241.75,47241.75,47666.01,46829.18,1632081600000
41,46890.5475,46106.6,46809.494999999995,46971.6,45542.76,45542.76,47347.25,45100.0,1632096000000
42,46526.0075,46106.6,46408.415,46643.6,44824.89,44824.89,45836.85,44444.0,1632110400000
43,45924.1725,46041.765,45806.58,46041.765,43739.75,43739.75,45295.0,43240.33,1632124800000
44,45544.05,45671.6,45416.5,45671.6,43844.88,43844.88,44135.0,42500.0,1632139200000
45,45544.05,45671.6,45416.5,45671.6,43850.25,43850.25,44250.0,42888.0,1632153600000
46,45407.05,45671.6,45142.5,45671.6,43015.62,43015.62,43968.67,42551.11,1632168000000
47,44257.05,44521.6,43992.5,44521.6,42683.01,42683.01,43111.0,40200.0,1632182400000
48,44227.302500000005,44521.6,43933.005000000005,44521.6,43301.07,43301.07,43340.0,42172.24,1632196800000
49,44147.6125,44521.6,43773.625,44521.6,43288.97,43288.97,43639.0,43050.0,1632211200000
50,43770.0125,44521.6,43018.425,44521.6,43072.81,43072.81,43550.0,42146.13,1632225600000
51,43634.55,44521.6,42747.5,44521.6,42013.63,42013.63,43295.66,41502.0,1632240000000
52,43073.3,44221.6,41925.0,44221.6,40734.38,40734.38,42331.87,39600.0,1632254400000
53,43073.3,44221.6,41925.0,44221.6,42052.09,42052.09,42420.75,40565.39,1632268800000
54,43002.9675,44221.6,41784.335,44221.6,42540.0,42540.0,42749.4,41820.01,1632283200000
55,42920.55,44221.6,41619.5,44221.6,41928.32,41928.32,42618.55,41841.46,1632297600000
56,42915.885,44221.6,41619.5,44212.270000000004,43222.96,43222.96,43296.0,41874.65,1632312000000
57,42970.1375,44221.6,41800.275,44140.0,43384.9,43384.9,44000.55,42855.01,1632326400000
58,42929.884999999995,44221.6,41800.275,44059.494999999995,43543.61,43543.61,43673.42,43006.0,1632340800000
59,42941.0625,44221.6,41895.71,43986.415,44074.57,44074.57,44191.42,43069.09,1632355200000
60,42989.8575,44221.6,41993.3,43986.415,44229.99,44229.99,44386.6,43685.8,1632369600000
61,43221.2475,44221.6,42475.994999999995,43966.5,43648.15,43648.15,44297.25,43361.0,1632384000000
62,43534.9025,44221.6,43103.305,43966.5,43747.63,43747.63,44258.11,43394.0,1632398400000
63,43540.807499999995,44221.6,43389.115,43692.5,44767.57,44767.57,44936.77,43602.0,1632412800000
64,43559.4125,44221.6,43426.325,43692.5,44865.26,44865.26,44978.0,44358.0,1632427200000
65,43774.887500000004,44221.6,43916.770000000004,43633.005000000005,44283.03,44283.03,44978.53,44205.0,1632441600000
66,43788.3125,44221.6,44103.0,43473.625,44818.46,44818.46,45200.0,43889.64,1632456000000
67,42827.9625,44221.6,42937.5,42718.425,41527.5,41527.5,45075.0,40675.0,1632470400000
68,42692.5,44221.6,42937.5,42447.5,41944.01,41944.01,42679.93,40843.82,1632484800000
69,42668.75,44221.6,42937.5,42400.0,42371.43,42371.43,42533.47,41742.01,1632499200000
70,42668.75,44221.6,42937.5,42400.0,42810.57,42810.57,43200.0,42303.78,1632513600000
71,42668.75,44221.6,42937.5,42400.0,42608.11,42608.11,42950.0,42024.54,1632528000000
72,42668.75,44221.6,42937.5,42400.0,42372.02,42372.02,42860.94,42206.43,1632542400000
73,42668.75,44221.6,42937.5,42400.0,42485.03,42485.03,42966.84,41646.28,1632556800000
74,42668.75,44221.6,42937.5,42400.0,42669.96,42669.96,42765.54,42156.33,1632571200000
75,42637.5,44221.6,42875.0,42400.0,42665.95,42665.95,42813.34,42348.39,1632585600000
76,42210.955,44221.6,42021.91,42400.0,42670.64,42670.64,42808.29,42375.0,1632600000000
